claim_id,target_family,source_mode,model_spec,final_label,gate_verdict_label,draft_success,gate_success,error_stage,error
pubmed_32726311_pmid32726311_dg_aging,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_32726311_pmid32726311_ent_resistance,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_32726311_pmid32726311_ifg_frontal_aging,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_34649002_pmid34649002_brainage_attnwm,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_31313441_31313441-psychosis-rsfc-casecontrol,psychosis,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_29653095_29653095-psychosis-fc-01,psychosis,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_29653095_29653095-psychosis-fc-02,psychosis,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_35753120_pmid35753120_1,psychosis,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_34183210_pmid34183210_1,psychosis,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_34183210_pmid34183210_3,psychosis,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_38422833_pmid38422833_cortical_fnc,psychosis,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_001,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_002,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_003,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_004,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_005,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_006,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_007,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_008,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_009,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_010,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_011,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_012,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_013,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_014,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_015,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_016,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_017,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_018,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_019,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_020,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_021,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_022,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_023,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_024,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_025,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_026,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_027,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_028,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_029,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_030,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_031,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_032,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_033,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_034,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_035,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_036,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_037,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_038,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_039,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_040,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_041,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_042,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_043,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_044,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_045,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_046,normative_fmri,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
normative_fmri_047,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_048,normative_fmri,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
normative_fmri_049,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
normative_fmri_050,normative_fmri,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q001,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q002,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q003,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q004,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q005,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q006,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q007,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q008,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q009,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q010,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q011,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q012,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q013,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q014,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q015,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q016,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q017,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q018,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q019,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q020,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q021,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q022,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q023,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q024,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q025,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q026,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q028,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q029,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q030,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q031,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q032,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q033,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q034,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q035,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q036,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q037,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q038,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q039,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q040,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q041,adhd,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
adhd_q042,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q043,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q044,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q045,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q046,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q047,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q048,adhd,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
adhd_q049,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
adhd_q050,adhd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q001,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q002,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q003,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q004,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q005,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q006,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q007,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q008,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q009,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q010,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q011,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q012,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q013,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q014,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q015,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q016,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q017,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q018,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q019,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q020,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q021,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q022,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q023,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q024,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q025,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q026,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q027,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q028,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q029,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q030,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q031,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q032,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q033,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q034,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q035,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q036,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q037,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q038,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q039,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q040,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q041,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q042,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q043,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q044,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q045,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q046,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q047,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q048,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q049,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
asd_q050,asd,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q001,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q002,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q003,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q004,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q005,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q006,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q007,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q008,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q009,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q010,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q011,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q012,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q013,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q014,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q015,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q016,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q017,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q018,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q019,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q020,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q021,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q022,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q023,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q024,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q025,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q026,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q027,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q028,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q029,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q030,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q031,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q032,ad_aging,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
ad_aging_q033,ad_aging,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
ad_aging_q034,ad_aging,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
ad_aging_q035,ad_aging,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
ad_aging_q036,ad_aging,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
ad_aging_q037,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q038,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q039,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q040,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q041,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q042,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q043,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q044,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q045,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q046,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q048,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q049,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
ad_aging_q050,ad_aging,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q001,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q002,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q003,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q004,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q005,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q006,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q007,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q008,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q009,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q010,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q011,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q012,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q013,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q014,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q015,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q016,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q017,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q018,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q019,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q020,psychosis,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
psychosis_q021,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q022,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q023,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q024,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q025,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q026,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q027,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q028,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q029,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q030,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q031,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q032,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q033,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q034,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q035,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q036,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q037,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q038,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q039,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q040,psychosis,llm_proposed,openai:gpt-5.5,under_powered,under_powered,True,True,,
psychosis_q041,psychosis,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
psychosis_q042,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q043,psychosis,llm_proposed,openai:gpt-5.5,fragile,fragile,True,True,,
psychosis_q044,psychosis,llm_proposed,openai:gpt-5.5,confirmed,confirmed,True,True,,
psychosis_q045,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q046,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q047,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
psychosis_q048,psychosis,llm_proposed,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
