claim_id,target_family,source_mode,model_spec,question,final_label,label_class,label_basis
pubmed_42141307_pmid42141307_asd_fmri_fc_casecontrol_mixed,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded idiopathic autism diagnosis versus neurotypical control status effect on functional connectivity dysconnectivity in fMRI-FC, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_34264028_34264028-1,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded autism spectrum disorder group versus typical control group in middle-aged adults effect on anxiety-network functional connectivity, especially bilateral insula connections in fMRI-FC, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_37741308_pmid37741308_asd_fc_groupdiff,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded ASD diagnosis versus typically developing controls effect on resting-state functional connectivity alterations in fMRI-FC, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_28040544_pmid28040544_asd_fc_kea_corticalnetworks,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded Autism diagnosis versus control status effect on Resting-state functional connectivity in KEA-defined cortical networks involving orbitofrontal cortex, anterior cingulate cortex, middle temporal gyrus, and precuneus in fMRI-FC, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_28040544_pmid28040544_asd_fc_selffacetom,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded Autism diagnosis versus control status effect on Resting-state functional connectivity in KEA-defined self, face-processing, and theory-of-mind networks in fMRI-FC, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_30833582_pmid30833582_asd_stepwise_connectivity,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded autism diagnosis versus typically developing controls effect on stepwise sensory-to-transmodal functional connectivity in task-free fMRI functional connectivity, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_1431963_pmid1431963_mta_ad_vs_controls,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded probable Alzheimer's disease versus age-matched controls effect on medial temporal lobe atrophy in sMRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction positive and adjust for age;eTIV;sex when available.",fragile,candidate_unknown,pubmed_literature
pubmed_1431963_pmid1431963_mtl_linear_ad_vs_controls,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded probable Alzheimer's disease versus age-matched controls effect on medial temporal lobe linear measurements in sMRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction two_sided and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_21729419_pmid21729419_1,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded clinical dementia diagnosis or dementia-related disease group effect on regional/global cortical atrophy in sMRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction positive and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_21729419_pmid21729419_2,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded clinical dementia diagnosis or Alzheimer/dementia-related disease group effect on hippocampal atrophy in sMRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction positive and adjust for age;eTIV;sex when available.",fragile,candidate_unknown,pubmed_literature
pubmed_26306871_pmid26306871_ca1_earlyad_smri,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded early-stage Alzheimer's disease versus non-AD/healthy aging comparison effect on hippocampal subfield morphology / CA1 atrophy in sMRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction negative and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_26306871_pmid26306871_widespread_dementiaad_smri,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded dementia-stage Alzheimer's disease versus earlier-stage AD or non-AD comparison effect on hippocampal subfield morphology / widespread hippocampal atrophy in sMRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction negative and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_35388950_pmid35388950_ad_havas_detection,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded Higher HAVAs / Alzheimer disease versus control status effect on Alzheimer disease detection / diagnostic classification in sMRI volumetric MRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction positive and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_35388950_pmid35388950_ad_hav_volumes,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded Alzheimer disease versus normal aging control status effect on AD-related structural atrophy pattern in sMRI volumetric MRI, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction two_sided and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_32726311_pmid32726311_dg_aging,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded Older age among cognitively normal adults effect on Dentate gyrus age-related MRI vulnerability / hippocampal integrity in combined functional-structural MRI in the primary study; structural MRI in secondary analyses, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction negative and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_32726311_pmid32726311_ent_resistance,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded Older age among cognitively normal adults, with regional contrast involving entorhinal cortex effect on Entorhinal cortex age-related atrophy or MRI integrity in combined functional-structural MRI in the primary study; structural MRI in secondary analyses, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction two_sided and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_32726311_pmid32726311_ifg_frontal_aging,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded Older age among cognitively normal adults effect on Frontal cortical age-related MRI vulnerability in combined functional-structural MRI in the primary study; structural MRI in secondary analyses, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction two_sided and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_34649002_pmid34649002_brainage_attnwm,ad_aging,literature_grounded,openai:gpt-5.5,"For literature-grounded Advanced brain age / higher atrophy-based brain age estimate effect on domain-specific cognitive impairment: attention and working memory in structural MRI-derived brain age estimate with neuropsychological test outcomes, using ADNI as discovery and OASIS3 as replication, test the claim with expected direction positive and adjust for age;eTIV;sex when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_31313441_31313441-psychosis-rsfc-casecontrol,psychosis,literature_grounded,openai:gpt-5.5,"For literature-grounded schizophrenia patients versus controls effect on resting-state functional connectivity in major functional networks in fMRI-FC, using BSNIP2 as discovery and COBRE as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_29653095_29653095-psychosis-fc-01,psychosis,literature_grounded,openai:gpt-5.5,"For literature-grounded Psychosis probands versus healthy controls effect on large-scale resting-state network connectivity in fMRI-FC, using BSNIP2 as discovery and COBRE as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_29653095_29653095-psychosis-fc-02,psychosis,literature_grounded,openai:gpt-5.5,"For literature-grounded Relatives of psychosis probands versus healthy controls effect on large-scale resting-state network connectivity in fMRI-FC, using BSNIP2 as discovery and COBRE as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_35753120_pmid35753120_1,psychosis,literature_grounded,openai:gpt-5.5,"For literature-grounded psychosis patients versus healthy controls effect on salience network functional connectivity in right SMA and bilateral putamen in resting-state fMRI functional connectivity identified with independent component analysis, using BSNIP2 as discovery and COBRE as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_34183210_pmid34183210_1,psychosis,literature_grounded,openai:gpt-5.5,"For literature-grounded breakthrough psychosis relapse on ongoing antipsychotic maintenance vs healthy controls effect on striatal resting-state functional connectivity / striatal connectivity index in fMRI-FC, using BSNIP2 as discovery and COBRE as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_34183210_pmid34183210_3,psychosis,literature_grounded,openai:gpt-5.5,"For literature-grounded non-adherent psychosis relapse after antipsychotic discontinuation vs healthy controls effect on striatal resting-state functional connectivity / striatal connectivity index in fMRI-FC, using BSNIP2 as discovery and COBRE as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_38422833_pmid38422833_cortical_fnc,psychosis,literature_grounded,openai:gpt-5.5,"For literature-grounded first-episode or early psychosis versus controls without a psychiatric disorder effect on cortical functional network connectivity in rs-fMRI functional connectivity, using BSNIP2 as discovery and COBRE as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
normative_fmri_001,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with lower within-network default-mode connectivity (fc_fc_Default_Default_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_002,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with lower control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_003,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with lower dorsal-attention within-network connectivity (fc_fc_DorsAttn_DorsAttn_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_004,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with higher connectivity between the default-mode and dorsal-attention networks (fc_fc_Default_DorsAttn_z), adjusting for sex and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_005,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with higher connectivity between default-mode and salience/ventral-attention networks (fc_fc_Default_SalVentAttn_z), adjusting for sex and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_006,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with lower visual-network within-network connectivity (fc_fc_Vis_Vis_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_007,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with lower somatomotor within-network connectivity (fc_fc_SomMot_SomMot_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_008,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with altered connectivity between somatomotor and visual networks (fc_fc_SomMot_Vis_z), adjusting for sex and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_009,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with lower connectivity between control and dorsal-attention networks (fc_fc_Cont_DorsAttn_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_010,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, is higher age associated with altered limbic within-network connectivity (fc_fc_Limbic_Limbic_z), adjusting for sex and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_011,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, do females and males differ in default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for age and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_012,normative_fmri,llm_proposed,openai:gpt-5.5,"In UKB_DISC, with replication in UKB_REP, do females and males differ in control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for age and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_013,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, is higher age associated with altered default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for sex and cognition?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_014,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, is higher age associated with altered control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for sex and cognition?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_015,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, is higher cognition associated with higher connectivity between control and dorsal-attention networks (fc_fc_Cont_DorsAttn_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_016,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, is higher cognition associated with higher control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_017,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, is higher cognition associated with lower default-mode to dorsal-attention connectivity (fc_fc_Default_DorsAttn_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_018,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, do females and males differ in salience/ventral-attention within-network connectivity (fc_fc_SalVentAttn_SalVentAttn_z), adjusting for age and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_019,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, do females and males differ in limbic within-network connectivity (fc_fc_Limbic_Limbic_z), adjusting for age and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_020,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, do females and males differ in somatomotor within-network connectivity (fc_fc_SomMot_SomMot_z), adjusting for age and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_021,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, is higher cognition associated with altered connectivity between default-mode and control networks (fc_fc_Cont_Default_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_022,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_DISC, with replication in HCP_REP, is higher cognition associated with higher dorsal-attention within-network connectivity (fc_fc_DorsAttn_DorsAttn_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_023,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, is higher age associated with lower default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_024,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, is higher age associated with higher default-mode to dorsal-attention connectivity (fc_fc_Default_DorsAttn_z), adjusting for sex and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_025,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, is higher age associated with lower visual-network within-network connectivity (fc_fc_Vis_Vis_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_026,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, is higher age associated with lower somatomotor within-network connectivity (fc_fc_SomMot_SomMot_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_027,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, is higher cognition associated with higher control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_028,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, is higher cognition associated with lower default-mode to dorsal-attention connectivity (fc_fc_Default_DorsAttn_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_029,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, do females and males differ in default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for age and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_030,normative_fmri,llm_proposed,openai:gpt-5.5,"In HCP_Aging_DISC, with replication in HCP_Aging_REP, do females and males differ in control-to-limbic connectivity (fc_fc_Cont_Limbic_z), adjusting for age and cognition?",confirmed,candidate_unknown,llm_proposed
normative_fmri_031,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher age associated with higher control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for sex and cognition?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_032,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher age associated with higher dorsal-attention within-network connectivity (fc_fc_DorsAttn_DorsAttn_z), adjusting for sex and cognition?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_033,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher age associated with lower default-mode to dorsal-attention connectivity (fc_fc_Default_DorsAttn_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_034,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher age associated with higher default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for sex and cognition?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_035,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher age associated with lower somatomotor-to-visual connectivity (fc_fc_SomMot_Vis_z), adjusting for sex and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_036,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher cognition associated with higher control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for age and sex?",fragile,candidate_unknown,llm_proposed
normative_fmri_037,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher cognition associated with lower default-mode to dorsal-attention connectivity (fc_fc_Default_DorsAttn_z), adjusting for age and sex?",confirmed,candidate_unknown,llm_proposed
normative_fmri_038,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, do females and males differ in default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for age and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_039,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, do females and males differ in salience/ventral-attention within-network connectivity (fc_fc_SalVentAttn_SalVentAttn_z), adjusting for age and cognition?",fragile,candidate_unknown,llm_proposed
normative_fmri_040,normative_fmri,llm_proposed,openai:gpt-5.5,"Among ABCD participants with dx=0.0, in ABCD_DISC with replication in ABCD_REP, is higher age associated with altered limbic within-network connectivity (fc_fc_Limbic_Limbic_z), adjusting for sex and cognition?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_041,normative_fmri,llm_proposed,openai:gpt-5.5,"Across UKB_DISC and HCP_Aging_DISC, with replication in UKB_REP and HCP_Aging_REP, is higher age consistently associated with lower default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for sex and cognition within each cohort?",fragile,candidate_unknown,llm_proposed
normative_fmri_042,normative_fmri,llm_proposed,openai:gpt-5.5,"Across UKB_DISC and HCP_Aging_DISC, with replication in UKB_REP and HCP_Aging_REP, is higher age consistently associated with higher default-mode to dorsal-attention connectivity (fc_fc_Default_DorsAttn_z), adjusting for sex and cognition within each cohort?",non_replicated,candidate_unknown,llm_proposed
normative_fmri_043,normative_fmri,llm_proposed,openai:gpt-5.5,"Across UKB_DISC and HCP_Aging_DISC, with replication in UKB_REP and HCP_Aging_REP, is higher age consistently associated with lower control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for sex and cognition within each cohort?",fragile,candidate_unknown,llm_proposed
normative_fmri_044,normative_fmri,llm_proposed,openai:gpt-5.5,"Across UKB_DISC and HCP_Aging_DISC, with replication in UKB_REP and HCP_Aging_REP, is higher cognition consistently associated with higher control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for age and sex within each cohort?",fragile,candidate_unknown,llm_proposed
normative_fmri_045,normative_fmri,llm_proposed,openai:gpt-5.5,"Across HCP_DISC and UKB_DISC, with replication in HCP_REP and UKB_REP, do females and males differ consistently in default-mode within-network connectivity (fc_fc_Default_Default_z), adjusting for age and cognition within each cohort?",confirmed,candidate_unknown,llm_proposed
normative_fmri_046,normative_fmri,llm_proposed,openai:gpt-5.5,"Across HCP_DISC and UKB_DISC, with replication in HCP_REP and UKB_REP, do females and males differ consistently in limbic within-network connectivity (fc_fc_Limbic_Limbic_z), adjusting for age and cognition within each cohort?",confirmed,candidate_unknown,llm_proposed
normative_fmri_047,normative_fmri,llm_proposed,openai:gpt-5.5,"Across ABCD_DISC and HCP_DISC, with replication in ABCD_REP and HCP_REP, is higher cognition associated with higher control-network within-network connectivity (fc_fc_Cont_Cont_z), adjusting for age and sex within each cohort and restricting ABCD to dx=0.0?",fragile,candidate_unknown,llm_proposed
