claim_id,source_verdict,primary_failure,repairability,failed_gates,diagnosis,allowed_revisions,forbidden_revisions,next_agent_instruction,must_preserve,allowed_contract_changes,source_artifact
injected_null_random_fbirn,fragile,multiplicity,downgrade_only,multiplicity;power;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_site_hcp,fragile,confound,needs_new_data,confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_site_hcpaging,fragile,confound,needs_new_data,confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_site_cobre,fragile,confound,needs_new_data,confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_site_gsp_smri,fragile,confound,needs_new_data,confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_fishing_ukb,fragile,confound,contract_repairable,confound;multiplicity;multiverse;replication,A required measured confound is missing or incomplete in the claim contract.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_fishing_abcd,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_fishing_hcp,fragile,confound,contract_repairable,confound;multiplicity;replication,A required measured confound is missing or incomplete in the claim contract.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
adhd_dyno_adhd200_abcd,non_replicated,multiverse,downgrade_only,replication;pattern_corr;region_replication_fraction,The result is not stable across reasonable analysis specifications.,State that the claim is fragile under multiverse analysis. | Predeclare a narrower estimand for a future run if scientifically justified. | Return a fragile disposition.,Do not select only the favorable analysis branch after seeing the multiverse. | Do not lower the multiverse consistency threshold. | Do not present a fragile result as confirmed.,Return a fragile disposition unless a new predeclared study design is available.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
asd_fc_abide2_internal_split,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
adhd_fc_adhd200_internal_split,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
ad_smri_adni_oasis3,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
ad_entorhinal_atrophy_adni_oasis3,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
ad_midtemp_atrophy_adni_oasis3,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
ad_wholebrain_atrophy_adni_oasis3,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
ad_brainwide_smri_adni_oasis3,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
ad_hippocampal_atrophy_adni_oasis3,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
brainwide_adni_oasis_ad_signature,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
brain_aging_hippocampus_adni_oasis3_cn,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
sex_smri_hippocampus_gsp_adni_cn,fragile,confound,needs_new_data,multiplicity;confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
sex_smri_hippocampus_gsp_oasis3_cn,fragile,confound,needs_new_data,multiplicity;confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
nacc_age_smri_split,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
nacc_csf_ptau_smri,fragile,multiplicity,downgrade_only,multiplicity;power;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
nacc_csf_ttau_smri,fragile,multiverse,downgrade_only,multiverse;replication;pattern_corr;region_replication_fraction,The result is not stable across reasonable analysis specifications.,State that the claim is fragile under multiverse analysis. | Predeclare a narrower estimand for a future run if scientifically justified. | Return a fragile disposition.,Do not select only the favorable analysis branch after seeing the multiverse. | Do not lower the multiverse consistency threshold. | Do not present a fragile result as confirmed.,Return a fragile disposition unless a new predeclared study design is available.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
nacc_csf_abeta_smri,non_replicated,multiverse,downgrade_only,replication;pattern_corr;region_replication_fraction,The result is not stable across reasonable analysis specifications.,State that the claim is fragile under multiverse analysis. | Predeclare a narrower estimand for a future run if scientifically justified. | Return a fragile disposition.,Do not select only the favorable analysis branch after seeing the multiverse. | Do not lower the multiverse consistency threshold. | Do not present a fragile result as confirmed.,Return a fragile disposition unless a new predeclared study design is available.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
neg_random_label_ukb_s1,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/negatives-expansion/negatives_expansion_audit_20260620_102803.csv
neg_site_confound_ukb_s1,fragile,confound,contract_repairable,confound;confound_completeness,A required measured confound is missing or incomplete in the claim contract.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/negatives-expansion/negatives_expansion_audit_20260620_102803.csv
